	accuracy	cost	best_accuracy	reg
0	0.5364	1.4380160596672575	0.5364	0.001
1	0.5412	1.435095937206562	0.5412	0.0025555555555555557
2	0.5466	1.4255221465074202	0.5466	0.0041111111111111105
3	0.547	1.4305593667518037	0.547	0.005666666666666666
4	0.5464	1.4305129057809596	0.5464	0.007222222222222222
5	0.5452	1.4334248115662251	0.5452	0.008777777777777777
6	0.5414	1.4445326628323265	0.5414	0.010333333333333333
7	0.5388	1.448835053926398	0.5412	0.01188888888888889
8	0.537	1.459490929181682	0.537	0.013444444444444443
9	0.5376	1.4655907464674378	0.5376	0.015
